Place,Bib-Name,Gr,Team,Comb,,Freestyle,,Classical,
,,,,Time,,,,,
,,,,,,Rank,Time,Rank,Time
84,1083-Chris Gottwaldt,9,Irondale,32:16.900,83,15:11.000,84,17:05.900
85,1078-John Przybilla,11,Coon Rapids,32:17.100,78,15:02.000,87,17:15.100
86,1079-Trevor Larson,9,Anoka,32:18.200,79,15:03.000,88,17:15.200
87,1072-Owen Erickson,9,Spring Lake,32:19.600,72,14:46.000,93,17:33.600
,,,Park,,,,,
88,1084-Tommy Davis,9,Irondale,32:31.900,84,15:16.000,89,17:15.900
89,1095-Ryan Minikus,12,Blaine,32:36.100,92,15:51.000,78,16:45.100
90,1087-Evan Lovdahl,9,Maple Grove,32:35.900,87,15:27.000,86,17:08.900
91,1093-Nicholas Trzynka,9,Osseo,32:38.800,94,15:51.000,80,16:47.800
92,1092-Andrew Witters,10,Osseo,32:47.100,93,15:51.000,83,16:56.100
93),1085-Brendan Richied,12,Anoka,33:15.100,85,15:26.000,97,17:49.100
94),1097-Vaughn Ruska,9,Osseo,33:29.900,97,15:55.000,94,17:34.900
95),1096-Mitch Murphy,11,Maple Grove,33:39.500,96,15:52.000,96,17:47.500
96),1094-Collin Lief,8,Spring Lake,33:40.300,95,15:51.000,98,17:49.300
,,,Park,,,,,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,5/9
1/31/2018,,,Gopher State Events Cross-Country Results,,,,,
97),1105-Josh Reed,10,Park Center,33:55.400,105,16:34.000,91,17:21.400
,Gopher State Events,,,,,,,
98),1100-Daniel Johnson,12,Blaine,34:09.300,100,16:24.000,95,17:45.300
99),1090-Milo Keyes,8,Spring Lake,34:33.400,90,15:37.000,106,18:56.400
,,,Park,,,,,
100),1103-Nate Courchane,9,Park Center,34:47.400,103,16:31.000,99,18:16.400
101),1102-Alex Knutson,10,Spring Lake,34:52.300,102,16:30.000,100,18:22.300
,,,Park,,,,,
102),1099-Brendan Hauta,12,Anoka,35:09.000,99,16:23.000,103,18:46.000
103),1104-Luke Elsesser,8,Spring Lake,35:09.800,104,16:33.000,102,18:36.800
,,,Park,,,,,
104),1098-Michael Stansberry,12,Park Center,35:21.900,98,16:15.000,108,19:06.900
105),1101-Johnathan Ernst,11,Park Center,35:23.400,101,16:29.000,105,18:54.400
106),1106-Carson Pender,9,Blaine,35:46.700,106,16:43.000,107,19:03.700
